,location,max_T,min_T,diff_max_T,diff_min_T,Precip_A,Precip_P,Probability,Quality
372,MWCR,90,80,-0.944878822,-0.431131638,Thunderstorm,Rain,0.528,0.9
373,MYNN,91,76,1.300001617,3.233316962,Rain-Thunderstorm,Rain,0.662,0.9
374,MZBZ,88,80,-1.465243582,-3.217739167,None,Rain,0.384,0.842857143
375,NCRG,82,71,-4.638917692,-4.264370521,None,None,0.624,0.75
376,NZAA,53,35,3.043881045,9.954345019,None,None,0.524,0.9
377,NZCH,46,24,6.427984256,9.651690486,None,Rain,0.596,0.8
378,NZWN,48,44,4.733115227,-0.20753873,Rain,Rain,0.502,0.85
379,OBBI,101,89,1.489619235,0.764129131,None,None,0.81,0.9
380,OEDF,111,91,0.639978823,-3.960452517,None,None,0.608,0.7
381,OEDR,114,89,-1.480207442,-3.665338463,None,None,0.942,0.95
382,OEJN,96,81,4.999703697,2.0408256,None,None,0.712,0.85
383,OEMA,NA,NA,NA,NA,NA,NA,NA,NA
384,OERK,110,78,-0.32507063,4.693420605,None,None,0.614,0.85
385,OIIE,NA,NA,NA,NA,NA,NA,NA,NA
386,OIII,104,82,-3.646132566,-4.542990597,None,Rain,0.53,0.9
387,OIMM,96,67,3.259727841,5.237424445,None,NA,0.65,0.628571429
388,OISS,100,72,3.205109897,-5.038950593,None,None,0.54,0.735714286
389,OITT,101,71,-5.779578865,0.006447333,None,TStorm,0.462,0.75
390,OJAI,NA,NA,NA,NA,NA,NA,NA,NA
391,OKBK,117,96,-1.803185632,-5.485224505,None,None,0.652,0.95
392,OLBA,NA,NA,NA,NA,NA,NA,NA,NA
393,OMAA,105,84,2.322307197,3.450691342,None,None,0.682,0.85
394,OMDB,102,86,4.833161377,5.804183805,None,None,0.644,0.85
395,OMDW,105,84,-4.86486793,-4.244993969,None,None,0.522,0.107142857
396,OMSJ,103,87,6.785461637,0.58670829,None,None,0.57,0.9
397,OOMS,NA,NA,NA,NA,NA,NA,NA,NA
398,OPRN,87,69,8.457536656,8.731057181,Rain-Thunderstorm,Rain,0.45,0.85
399,OPST,89,78,24.89627817,14.77624219,Thunderstorm,NA,0.468,0.1
400,ORBI,NA,NA,NA,NA,NA,NA,NA,NA
401,ORMM,NA,NA,NA,NA,NA,NA,NA,NA
402,OSAP,NA,NA,NA,NA,NA,NA,NA,NA
403,OSDI,NA,NA,NA,NA,NA,NA,NA,NA
404,OSLK,NA,NA,NA,NA,NA,NA,NA,NA
405,PAFA,75,56,-0.637582757,-1.365880284,Rain,Rain,0.532,0.9
406,PANC,73,53,-7.834844143,-2.147213824,Rain,None,0.508,0.85
407,PGUM,86,75,2.07762952,3.017313085,None,Rain,0.594,0.9
408,PHNL,90,78,-2.673132705,-3.319047492,Rain,Rain,0.502,0.85
409,PR20,89,75,-0.428798065,-0.356311751,None,None,0.536,0.9
410,RCBS,NA,NA,NA,NA,NA,NA,NA,NA
411,RCKH,87,80,3.388658461,0.24336636,Rain,None,0.652,0.95
412,RCTP,89,78,3.959435079,1.072140565,None,None,0.576,0.85
413,RJAA,86,66,1.461266748,6.202158827,Fog,Rain,0.556,0.9
414,RJBB,82,73,3.2890036,2.867336363,None,None,0.624,0.95
415,RJCC,84,57,-10.19677118,5.250984447,Fog,None,0.51,0.75
416,RJFF,89,77,1.140486307,0.29139554,Rain,Rain,0.6,0.9
417,RJFK,78,75,6.256199108,-1.385714848,Rain,None,0.556,0.9
418,RJGG,84,71,1.868869218,5.229726558,None,Rain,0.746,0.5
419,rjns,84,73,-8.29371697,-3.394849505,None,None,0.73,0.1
420,RJOO,89,77,-0.162219424,-0.243795302,None,None,0.644,0.8
421,RJTT,84,71,1.813209445,4.585957445,None,None,0.512,0.9
422,RJTY,89,68,-2.837148489,4.942884447,None,Rain,0.998,0.821428571
423,RKJB,84,75,-2.150869477,-7.162043644,Rain,None,0.542,0.1
424,RKJK,89,75,-8.374671061,-1.12226941,Fog-Rain-Thunderstorm,Rain,0.948,0.921428571
425,RKPC,78,71,5.945624564,3.348752879,Rain,None,0.668,0.85
426,RKPK,86,73,-3.145818369,0.612859158,Rain,None,0.782,0.9
427,RKSI,89,77,-9.122229282,-6.053350748,Rain,Rain,0.596,0.6
428,RKSO,93,73,-12.32274355,-2.448647162,Rain,Rain,0.522,0.85
429,RKSS,93,75,-10.83991324,-2.909809226,Rain,None,0.516,0.9
430,RKTU,93,71,-9.455520507,1.32325073,Rain,None,0.542,0.85
431,ROAH,86,80,1.6464395,0.646352254,Rain,None,0.652,0.9
432,RODN,84,79,3.726783355,0.703686846,Rain,Rain,0.53,0.85
433,RPLC,NA,NA,NA,NA,NA,NA,NA,NA
434,RPLL,90,75,-1.087350718,2.364962403,Rain,Rain,0.528,0.9
435,RPMD,88,80,1.047164355,-4.065939969,Rain,Rain,0.604,0.75
436,RPVM,91,77,-1.0812951,0.11661299,Rain,Rain,0.536,0.757142857
437,SAEZ,NA,NA,NA,NA,NA,NA,NA,NA
438,SBBE,89,73,-0.222791009,2.215536662,Rain,Rain,0.53,0.95
439,SBBR,81,58,-3.188174845,-2.673567828,None,None,0.63,0.9
440,SBCF,78,59,-5.438125266,-6.112470745,None,None,0.718,0.85
441,SBCT,68,55,-3.373452732,-6.314837866,Rain,None,0.436,0.8
442,SBFL,76,62,-6.925398395,-6.683655017,None,Rain,0.532,0.8
443,SBGL,84,63,-4.87882084,-1.075980186,None,Rain,0.67,0.9
444,SBGR,66,57,4.442089608,-4.525444118,Rain,None,0.57,0.95
445,SBSP,64,60,6.012048231,-3.983005083,Rain,None,0.696,0.792857143
446,SBSV,81,71,-0.716373212,1.112455504,Rain,None,0.558,0.9
447,SCEL,NA,NA,NA,NA,NA,NA,NA,NA
448,SELT,65,45,-0.062915163,0.512317232,Rain,Rain,0.558,0.764285714
449,SEQM,75,53,6.24316685,-2.903750243,Fog,None,0.834,0.107142857
450,SKBO,63,51,0.648438732,-2.52987995,None,None,0.482,0.9
451,SPIM,71,64,-4.511257741,-2.887366104,None,None,0.756,0.9
452,SPZO,73,32,-4.357900755,2.729201068,None,None,0.836,0.85
453,SUMU,57,51,1.178077631,-9.291909777,Fog-Rain,None,0.572,0.9
454,TJSJ,91,78,-1.388787078,0.956606612,None,Rain,0.616,0.95
455,TNCM,86,79,1.112418043,-0.080617245,Rain,Rain,0.69,0.95
456,UAAA,80,60,8.101760428,2.637343846,None,None,0.446,0.85
457,UACC,81,50,-0.674938774,7.528492959,Rain,None,0.488,0.9
458,UAFM,86,60,5.181392896,5.32788439,None,Rain,0.552,0.9
459,UAKK,71,51,11.03658006,1.168666342,None,None,0.44,0.6
460,UBBB,88,75,0.904176508,-1.824991415,None,None,0.548,0.85
461,UDYZ,96,71,-1.207265849,-1.97325987,None,None,0.522,0.55
462,UGTB,89,73,-0.577170047,-3.097147274,None,None,0.99,0.1
463,UKBB,64,51,18.3375639,9.076359835,Rain,None,0.534,0.95
464,UKCC,NA,NA,NA,NA,NA,NA,NA,NA
465,UKFF,75,62,10.80927137,0.536531423,None,None,0.458,0.6
466,UKHH,68,57,17.84526981,7.735076014,Rain,None,0.75,0.535714286
467,UKOO,74,61,9.510150395,5.064443142,Rain,Rain,0.45,0.95
468,ULLI,59,54,18.98256356,5.762138013,Fog-Rain,None,0.576,0.95
469,UMMS,64,50,13.97245663,7.429724382,Rain,None,0.492,0.95
470,UNKL,62,46,13.24916873,7.639300743,Fog-Rain,None,0.42,0.65
471,URSS,82,65,0.629032446,5.063927873,Rain-Thunderstorm,Rain,0.568,0.65
472,USSS,75,55,-1.152995541,1.61671545,Fog-Rain-Thunderstorm,None,0.548,0.6
473,UTTT,99,63,-0.029004325,6.193276751,None,Rain,0.556,0.807142857
474,UUBW,NA,NA,NA,NA,NA,NA,NA,NA
475,UUDD,68,55,14.51176974,1.860798077,Rain-Thunderstorm,None,0.446,0.8
476,UUEE,66,53,15.04353506,8.028681837,Rain,None,0.6,0.8
477,UUWW,NA,NA,NA,NA,NA,NA,NA,NA
478,UWUU,79,64,-0.284132985,-7.466323531,Rain,None,0.564,0.55
479,UWWW,77,64,7.111548762,-4.799002459,Rain-Thunderstorm,None,0.738,0.65
480,VABB,90,79,-5.196954913,-2.372256562,Rain,None,0.51,0.85
481,VAGO,NA,NA,NA,NA,NA,NA,NA,NA
482,VCBI,NA,NA,NA,NA,NA,NA,NA,NA
483,VCRI,NA,NA,NA,NA,NA,NA,NA,NA
484,VDPP,96,80,-3.993675388,-3.175520926,None,None,0.574,0.864285714
485,VDSR,95,80,-5.004969086,-2.259576143,None,None,0.584,0.45
486,VECC,93,81,-0.160785546,-1.021446261,Rain,Rain,0.648,0.85
487,VHHH,94,82,-2.156328632,0.058515434,None,Rain,0.502,0.9
488,VIAR,91,75,6.309602499,2.971681679,Rain-Thunderstorm,Rain,0.498,0.892857143
489,VIDP,78,75,16.73328893,6.132020718,Rain-Thunderstorm,Rain,0.602,0.95
490,VMMC,94,79,-5.561088447,1.151077771,None,Rain,0.666,0.95
491,VOBL,89,75,5.256302489,6.295148319,None,None,0.634,0.1
492,VOCI,87,75,-2.746164576,-0.304704579,None,Rain,0.73,0.1
493,VOCL,87,77,-6.470707751,-2.014088328,None,Rain,0.802,0.1
494,VOHS,93,75,-4.147099724,-4.295106504,None,None,0.816,0.1
495,VOMM,100,73,-5.0827728,4.668599918,Rain-Thunderstorm,Rain,0.772,0.95
496,VOTV,86,77,-0.596722289,-0.032441964,None,None,0.628,0.885714286
497,VRMM,86,76,0.606467897,2.930766961,Rain-Thunderstorm,None,0.49,0.707142857
498,VTBD,98,82,-6.963941501,-3.10447974,None,Rain,0.478,0.8
499,VTBS,97,82,-5.651701687,-3.608810057,None,Rain,0.688,0.3
500,VTCC,96,78,-4.249974096,-2.038483116,None,Rain,0.568,0.885714286
501,VVDN,93,80,1.721583192,-2.646023854,None,Rain,0.404,0.8
502,VVNB,87,75,5.694648336,3.27477472,Rain,None,0.466,0.892857143
503,VVTS,91,80,-0.661737006,-5.718785933,None,Rain,0.354,0.85
504,VYMD,91,78,1.880803528,0.285817214,None,None,0.91,0.1
505,VYYY,89,77,0.167180756,-1.930605825,Rain,Rain,0.604,0.507142857
506,WAAA,93,72,-1.952642096,-0.609424803,None,None,0.7,0.85
507,WADD,84,71,-1.72582013,3.286023071,None,None,0.74,0.1
508,WARR,86,71,1.067505169,1.496023714,None,None,0.658,0.5
509,WBSB,92,73,-2.41839877,0.968874814,None,None,0.506,0.764285714
510,WIII,89,75,0.477176173,-1.491552267,None,Rain,0.9,0.8
511,WMKK,93,79,-1.818267697,-3.496309626,Rain,Rain,0.444,0.8
512,WSSS,89,81,-1.093263805,-4.14801277,Rain-Thunderstorm,None,0.522,0.9
513,YBBN,68,49,1.072029467,-0.087103421,Fog-Rain,None,0.566,0.85
514,YMML,55,41,1.174806419,2.001005008,Rain,None,0.668,0.95
515,YPPH,62,38,1.875886665,5.186706376,None,None,0.634,0.8
516,YSCB,53,38,0.153005166,-7.096888446,Rain,None,0.574,0.8
517,YSSY,68,43,-3.920275986,4.734482202,Fog-Rain-Thunderstorm,None,0.502,0.9
518,ZBAA,95,73,-7.858414919,-2.686014666,None,Rain,0.534,0.95
519,ZBTJ,93,77,-5.462873236,-4.132180293,None,Rain,0.492,0.95
520,ZBYN,91,64,-5.701835504,2.205520315,None,None,0.624,0.85
521,ZGGG,NA,NA,NA,NA,NA,NA,NA,NA
522,ZGHA,93,75,0.302851639,2.266300105,None,None,0.618,0.5
523,ZGKL,91,71,2.269630629,4.912893761,None,Rain,0.568,0.6
524,ZGNN,93,75,-1.291001028,2.438211851,None,Rain,0.504,0.8
525,ZGSZ,94,80,-3.277958859,1.732303399,None,Rain,0.67,0.95
526,ZHCC,89,73,2.086063468,0.02690787,Rain,None,0.488,0.55
527,ZHHH,92,75,-2.067670052,1.855910608,None,Rain,0.884,0.7
528,ZJHK,95,71,-4.007711456,4.397685769,None,Rain,0.376,0.5
529,ZJSY,86,74,1.715338341,0.796574813,None,Rain,0.636,0.55
530,ZLXY,93,69,-3.72213342,0.612390859,None,None,0.574,0.9
531,ZPPP,81,55,-3.838567564,8.098502975,None,None,0.486,0.8
532,ZSAM,98,83,-3.867300278,-2.807275553,None,None,0.49,0.95
533,ZSFZ,91,80,3.863151454,-2.251775801,Rain,Rain,0.444,0.55
534,ZSHC,77,74,19.50248833,7.253970146,Rain,Rain,0.42,0.9
535,ZSJN,NA,NA,NA,NA,NA,NA,NA,NA
536,ZSNB,77,75,7.958712837,-0.884907799,Rain,None,0.704,0.1
537,ZSNJ,82,74,8.241847897,2.689407339,Rain,Rain,0.488,0.8
538,ZSPD,75,73,13.27948012,4.896820998,Rain,None,0.534,0.7
539,ZSSS,77,73,16.18593152,7.067755926,Rain,Rain,0.488,0.95
540,ZSWZ,NA,NA,NA,NA,NA,NA,NA,NA
541,ZUCK,95,73,-2.146534134,4.996258636,None,Rain,0.454,0.6
542,ZUGY,84,62,1.029383434,6.299184366,None,None,0.526,0.507142857
543,ZUUU,93,71,-5.745860194,2.89472307,None,None,0.598,0.85
544,ZWWW,77,62,11.80849556,8.480790019,Rain,Rain,0.526,0.85
545,ZYHB,85,71,-4.158559802,-8.034236843,Rain,Rain,0.626,0.607142857
546,ZYTL,86,71,-4.443520149,-1.190871394,Fog-Rain,Rain,0.498,0.85
547,ZYTX,89,69,-6.278783734,-1.919465581,None,None,0.488,0.9
